sentence,gold_label
program pemerintahnya untuk subsidi beasiswa ke anak '' indonesia yg pengen kuliah di luar sih bagus ya,0
"kayaknya sekarang makin banyak orang yang sadar soal pentingnya menjaga lingkungan , jadi semoga ke depannya makin banyak perubahan positif .",0
gibran bilang kalau qris udah memberikan solusi pembayaran praktis tanpa harus bergantung sama uang tunai . bagus banget ya !,0
sayang kamu cantik banget sihhh,0
anak itu jago banget main piano sampai menang lomba,0
itu udah bagus kok .,0
"menurutku , cookiesnya enak banget dan bikin kepengen beli lagi .",0
aku diajak pergi ke gereja minggu lalu dan baru tau kalau lagu gereja enak-enak .,0
aku sangat senang karena hari ini ini kamu mengajak aku ke museum .,0
warga membantu dia saat dia susah karena katanya dia baik banget ke orang lain .,0
baru-baru ini medsos lagi dikejutkan dengan grup facebook `` fantasi sedarah '' yang mengarah pada tindakan pelecehan pada anggota keluarga .,1
mohon kehadiran anda besok untuk makan bersama jam 19.00 wib .,1
"hari minggu , aku dan papa pergi ke taman buat memetik mangga . tapi aku engga duduk di sebelah pak supir yang mengendarai kuda biar baik jalannya karena aku punya trauma masa kecil sama kuda . makanya , pak supir duduk sendiri di depan .",1
hpku ilang di stasiun .,1
"aku mau buat sendiri kemaren , tapi aku lagi pusing dan gak bisa kepikiran caranya .",1
aku lagi ngobrol sama orang lain di telpon .,1
dingin-dingin gini pengen have sex juga ya .,1
rodanya mobil ada empat .,1
"teman-teman mohon hati-hati dengan varian virus covid-19 yang sekarang , kata berita gejalanya lebih parah dibanding yang lain .",1
lilipaly ternyata dipanggil timnas lagi di bali buat ikut latihan persiapan sebelum lawan china juni nanti,1
budi bilang bu ika gabisa jelasin materi dan bikin dia kesusahan,2
aku nggak suka makan donat,2
aku kurang setuju kalau setiap siswa harus ikut upacara di hari senin,2
makin banyak aja peraturan pemerintah yang ngecewain rakyat .,2
"menurutku , banyak orang miskin di indonesia karena nikah muda .",2
orang bisa nilai perencanaan kota jelek atau engga itu dari ada gaknya ruang terbuka hijau .,2
"pemerintah gak serius tentang memprioritaskan pendidikan , anggarannya aja dipotong 8 triliun .",2
sistem pendidikan yang sekarang udah perlu dibenerin kalo menurutku .,2
korupsi dan pemerintahan yang jelek membuat pembangunan ekonomi terhambat dan merugikan masyarakat indonesia .,2
temen kamu yang peduli sama kamu kayak aku juga kesel .,2
